player,player_team,opposing_team,game_id,season,points,position,avg_points_position
Yovel Zoosman,MACCABI FOX TEL AVIV,REAL MADRID,E2018_123,2018,1,Forward,37.666666666666664
Kim Tillie,HERBALIFE GRAN CANARIA,REAL MADRID,E2018_132,2018,0,Forward,38.5
Xavier Rabaseda,HERBALIFE GRAN CANARIA,REAL MADRID,E2018_132,2018,8,Forward,38.5
Eulis Baez,HERBALIFE GRAN CANARIA,REAL MADRID,E2018_132,2018,12,Forward,38.5
Ondrej Balvin,HERBALIFE GRAN CANARIA,REAL MADRID,E2018_132,2018,8,Forward,38.5
Siim-Sander Vene,HERBALIFE GRAN CANARIA,REAL MADRID,E2018_132,2018,0,Forward,38.5
Josh Magette,HERBALIFE GRAN CANARIA,REAL MADRID,E2018_132,2018,2,Forward,38.5
Albert Oliver,HERBALIFE GRAN CANARIA,REAL MADRID,E2018_132,2018,12,Forward,38.5
Anzejs Pasecniks,HERBALIFE GRAN CANARIA,REAL MADRID,E2018_132,2018,7,Forward,38.5
Janis Timma,OLYMPIACOS PIRAEUS,REAL MADRID,E2018_140,2018,3,Forward,39.11764705882353
Vangelis Mantzaris,OLYMPIACOS PIRAEUS,REAL MADRID,E2018_140,2018,0,Forward,39.11764705882353
Axel Toupane,OLYMPIACOS PIRAEUS,REAL MADRID,E2018_140,2018,0,Forward,39.11764705882353
Kostas Papanikolaou,OLYMPIACOS PIRAEUS,REAL MADRID,E2018_140,2018,7,Forward,39.11764705882353
Georgios Printezis,OLYMPIACOS PIRAEUS,REAL MADRID,E2018_140,2018,11,Forward,39.11764705882353
Giorgos Bogris,OLYMPIACOS PIRAEUS,REAL MADRID,E2018_140,2018,12,Forward,39.11764705882353
Sasha Vezenkov,OLYMPIACOS PIRAEUS,REAL MADRID,E2018_140,2018,1,Forward,39.11764705882353
Edwin Jackson,BUDUCNOST VOLI PODGORICA,REAL MADRID,E2018_150,2018,10,Forward,38.833333333333336
Goga Bitadze,BUDUCNOST VOLI PODGORICA,REAL MADRID,E2018_150,2018,13,Forward,38.833333333333336
Danilo Nikolic,BUDUCNOST VOLI PODGORICA,REAL MADRID,E2018_150,2018,0,Forward,38.833333333333336
James Bell,BUDUCNOST VOLI PODGORICA,REAL MADRID,E2018_150,2018,3,Forward,38.833333333333336
Nemanja Gordic,BUDUCNOST VOLI PODGORICA,REAL MADRID,E2018_150,2018,5,Forward,38.833333333333336
Filip Barovic,BUDUCNOST VOLI PODGORICA,REAL MADRID,E2018_150,2018,6,Forward,38.833333333333336
Coty Clarke,BUDUCNOST VOLI PODGORICA,REAL MADRID,E2018_150,2018,12,Forward,38.833333333333336
Earl Clark,BUDUCNOST VOLI PODGORICA,REAL MADRID,E2018_150,2018,10,Forward,38.833333333333336
Suad Sehovic,BUDUCNOST VOLI PODGORICA,REAL MADRID,E2018_150,2018,0,Forward,38.833333333333336
James Anderson,ANADOLU EFES ISTANBUL,REAL MADRID,E2018_156,2018,0,Forward,39.89473684210526
Adrien Moerman,ANADOLU EFES ISTANBUL,REAL MADRID,E2018_156,2018,5,Forward,39.89473684210526
Brock Motum,ANADOLU EFES ISTANBUL,REAL MADRID,E2018_156,2018,13,Forward,39.89473684210526
Dogus Ozdemiroglu,DARUSSAFAKA TEKFEN ISTANBUL,REAL MADRID,E2018_166,2018,2,Forward,38.8
Muhammed Baygul,DARUSSAFAKA TEKFEN ISTANBUL,REAL MADRID,E2018_166,2018,5,Forward,38.8
Stanton Kidd,DARUSSAFAKA TEKFEN ISTANBUL,REAL MADRID,E2018_166,2018,3,Forward,38.8
Kartal Ozmizrak,DARUSSAFAKA TEKFEN ISTANBUL,REAL MADRID,E2018_166,2018,11,Forward,38.8
Mert Akay,DARUSSAFAKA TEKFEN ISTANBUL,REAL MADRID,E2018_166,2018,2,Forward,38.8
Berk Demir,DARUSSAFAKA TEKFEN ISTANBUL,REAL MADRID,E2018_166,2018,0,Forward,38.8
Jeremy Evans,DARUSSAFAKA TEKFEN ISTANBUL,REAL MADRID,E2018_166,2018,18,Forward,38.8
Jon Diebler,DARUSSAFAKA TEKFEN ISTANBUL,REAL MADRID,E2018_166,2018,0,Forward,38.8
Zanis Peiners,DARUSSAFAKA TEKFEN ISTANBUL,REAL MADRID,E2018_166,2018,7,Forward,38.8
Toney Douglas,DARUSSAFAKA TEKFEN ISTANBUL,REAL MADRID,E2018_166,2018,27,Forward,38.8
Oguz Savas,DARUSSAFAKA TEKFEN ISTANBUL,REAL MADRID,E2018_166,2018,3,Forward,38.8
Semen Antonov,CSKA MOSCOW,REAL MADRID,E2018_173,2018,0,Forward,40.666666666666664
Will Clyburn,CSKA MOSCOW,REAL MADRID,E2018_173,2018,8,Forward,40.666666666666664
Nikita Kurbanov,CSKA MOSCOW,REAL MADRID,E2018_173,2018,6,Forward,40.666666666666664
Joel Bolomboy,CSKA MOSCOW,REAL MADRID,E2018_173,2018,0,Forward,40.666666666666664
Marvin Ogunsipe,FC BAYERN MUNICH,REAL MADRID,E2018_184,2018,0,Forward,39.45454545454545
Robin Amaize,FC BAYERN MUNICH,REAL MADRID,E2018_184,2018,0,Forward,39.45454545454545
Danilo Barthel,FC BAYERN MUNICH,REAL MADRID,E2018_184,2018,14,Forward,39.45454545454545
Alex King,FC BAYERN MUNICH,REAL MADRID,E2018_184,2018,0,Forward,39.45454545454545
Braydon Hobbs,FC BAYERN MUNICH,REAL MADRID,E2018_184,2018,9,Forward,39.45454545454545
Vladimir Lucic,FC BAYERN MUNICH,REAL MADRID,E2018_184,2018,10,Forward,39.45454545454545
Derrick Williams,FC BAYERN MUNICH,REAL MADRID,E2018_184,2018,9,Forward,39.45454545454545
Nemanja Dangubic,FC BAYERN MUNICH,REAL MADRID,E2018_184,2018,7,Forward,39.45454545454545
Adam Hanga,FC BARCELONA LASSA,REAL MADRID,E2018_192,2018,0,Forward,39.869565217391305
Chris Singleton,FC BARCELONA LASSA,REAL MADRID,E2018_192,2018,4,Forward,39.869565217391305
Kevin Seraphin,FC BARCELONA LASSA,REAL MADRID,E2018_192,2018,3,Forward,39.869565217391305
Kyle Kuric,FC BARCELONA LASSA,REAL MADRID,E2018_192,2018,15,Forward,39.869565217391305
Victor Claver,FC BARCELONA LASSA,REAL MADRID,E2018_192,2018,4,Forward,39.869565217391305
Tarik Biberovic,FENERBAHCE ISTANBUL,REAL MADRID,E2018_196,2018,5,Forward,39.291666666666664
Nikola Kalinic,FENERBAHCE ISTANBUL,REAL MADRID,E2018_196,2018,1,Forward,39.291666666666664
Luigi Datome,FENERBAHCE ISTANBUL,REAL MADRID,E2018_196,2018,5,Forward,39.291666666666664
Erick Green,FENERBAHCE ISTANBUL,REAL MADRID,E2018_196,2018,8,Forward,39.291666666666664
Nicolo Melli,FENERBAHCE ISTANBUL,REAL MADRID,E2018_196,2018,11,Forward,39.291666666666664
Vyacheslav Zaytsev,KHIMKI MOSCOW REGION,REAL MADRID,E2018_201,2018,8,Forward,38.92
Tony Crocker,KHIMKI MOSCOW REGION,REAL MADRID,E2018_201,2018,5,Forward,38.92
Sergey Monya,KHIMKI MOSCOW REGION,REAL MADRID,E2018_201,2018,5,Forward,38.92
Andrey Zubkov,KHIMKI MOSCOW REGION,REAL MADRID,E2018_201,2018,2,Forward,38.92
Petr Gubanov,KHIMKI MOSCOW REGION,REAL MADRID,E2018_201,2018,6,Forward,38.92
Vladimir Micov,AX ARMANI EXCHANGE OLIMPIA MILAN,REAL MADRID,E2018_216,2018,8,Forward,38.42307692307692
Mindaugas Kuzminskas,AX ARMANI EXCHANGE OLIMPIA MILAN,REAL MADRID,E2018_216,2018,7,Forward,38.42307692307692
Jeff Brooks,AX ARMANI EXCHANGE OLIMPIA MILAN,REAL MADRID,E2018_216,2018,0,Forward,38.42307692307692
Alen Omic,AX ARMANI EXCHANGE OLIMPIA MILAN,REAL MADRID,E2018_216,2018,0,Forward,38.42307692307692
Curtis Jerrells,AX ARMANI EXCHANGE OLIMPIA MILAN,REAL MADRID,E2018_216,2018,0,Forward,38.42307692307692
Marcelinho Huertas,KIROLBET BASKONIA VITORIA-GASTEIZ,REAL MADRID,E2018_223,2018,12,Forward,37.55555555555556
Jalen Jones,KIROLBET BASKONIA VITORIA-GASTEIZ,REAL MADRID,E2018_223,2018,9,Forward,37.55555555555556
Shavon Shields,KIROLBET BASKONIA VITORIA-GASTEIZ,REAL MADRID,E2018_223,2018,10,Forward,37.55555555555556
Johannes Voigtmann,KIROLBET BASKONIA VITORIA-GASTEIZ,REAL MADRID,E2018_223,2018,13,Forward,37.55555555555556
Tadas Sedekerskis,KIROLBET BASKONIA VITORIA-GASTEIZ,REAL MADRID,E2018_223,2018,0,Forward,37.55555555555556
Ioannis Papapetrou,PANATHINAIKOS OPAP ATHENS,REAL MADRID,E2018_225,2018,7,Forward,37.785714285714285
Keith Langford,PANATHINAIKOS OPAP ATHENS,REAL MADRID,E2018_225,2018,14,Forward,37.785714285714285
Deshaun Thomas,PANATHINAIKOS OPAP ATHENS,REAL MADRID,E2018_225,2018,8,Forward,37.785714285714285
Matthew Lojeski,PANATHINAIKOS OPAP ATHENS,REAL MADRID,E2018_225,2018,2,Forward,37.785714285714285
Thanasis Antetokounmpo,PANATHINAIKOS OPAP ATHENS,REAL MADRID,E2018_225,2018,2,Forward,37.785714285714285
Sean Kilpatrick,PANATHINAIKOS OPAP ATHENS,REAL MADRID,E2018_225,2018,8,Forward,37.785714285714285
Deon Thompson,ZALGIRIS KAUNAS,REAL MADRID,E2018_236,2018,7,Forward,37.89655172413793
Antanas Kavaliauskas,ZALGIRIS KAUNAS,REAL MADRID,E2018_236,2018,10,Forward,37.89655172413793
