player,game_id,Last_2_Avg_minutes,Last_2_Avg_points,Last_2_Avg_two_points_made,Last_2_Avg_two_points_attempted,Last_2_Avg_three_points_made,Last_2_Avg_three_points_attempted,Last_2_Avg_free_throws_made,Last_2_Avg_free_throws_attempted,Last_2_Avg_offensive_rebounds,Last_2_Avg_defensive_rebounds,Last_2_Avg_total_rebounds,Last_2_Avg_assists,Last_2_Avg_steals,Last_2_Avg_turnovers,Last_2_Avg_blocks_favour,Last_2_Avg_blocks_against,Last_2_Avg_fouls_committed,Last_2_Avg_fouls_received,Last_2_Avg_valuation,Last_2_Avg_ts%
Fernando Emeterio San,E2019_164,10.433333333333334,2.0,1.0,3.0,0.0,1.0,0.0,1.0,2.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.2252252252252252
Joan Sastre,E2019_164,,,,,,,,,,,,,,,,,,,,
Alexey Shved,E2019_164,29.783333333333335,11.0,2.0,5.0,1.0,8.0,4.0,5.0,0.0,2.0,2.0,1.0,0.0,2.0,1.0,0.0,2.0,4.0,4.0,0.3618421052631579
Aaron Doornekamp,E2019_164,3.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,
Sergio Llull,E2019_163,20.924999999999997,14.0,4.0,7.0,1.5,8.5,1.5,1.5,0.5,2.0,2.5,1.5,0.5,0.5,0.0,0.0,2.5,1.5,7.0,0.4354111926920905
Elijah Bryant,E2019_168,10.416666666666666,2.0,0.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,-4.0,0.3472222222222222
Leo Westermann,E2019_166,,,,,,,,,,,,,,,,,,,,
Melih Mahmutoglu,E2019_166,28.066666666666666,14.0,4.0,6.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,11.0,0.875
Jeffery Taylor,E2019_163,15.291666666666666,3.5,1.0,3.0,0.5,1.0,0.0,0.0,1.0,1.5,2.5,0.5,0.0,1.0,0.5,1.0,3.0,0.5,0.0,0.4375
Nando Colo De,E2019_166,,,,,,,,,,,,,,,,,,,,
Theo Maledon,E2019_166,18.533333333333335,7.0,2.0,4.0,1.0,3.0,0.0,0.0,0.0,1.0,1.0,5.0,1.0,1.0,1.0,0.0,5.0,5.0,10.0,0.5
Jeremy Evans,E2019_164,2.8,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0
Vanja Marinkovic,E2019_164,19.033333333333335,13.0,1.0,2.0,3.0,4.0,2.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,11.0,0.9447674418604651
